종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2320","-10","-0.43","112605009440"
"054620","APS홀딩스","KOSDAQ","금융","13220","-280","-2.07","269611601620"
"265520","AP시스템","KOSDAQ","반도체","20800","250","1.22","317853556800"
"211270","AP위성","KOSDAQ","통신장비","20600","-650","-3.06","310695462400"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","5930","70","1.19","175147851420"
"013720","CBI","KOSDAQ","운송장비·부품","301","-10","-3.22","81400076849"
"035760","CJ ENM","KOSDAQ","방송서비스","90900","0","0.00","1993360098600"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","29000","450","1.58","170481488000"
"051500","CJ프레시웨이","KOSDAQ","유통","31050","-200","-0.64","368612745300"
"058820","CMG제약","KOSDAQ","제약","2320","60","2.65","322230006080"
"023460","CNH","KOSDAQ","금융","2200","-20","-0.90","81840000000"
"056730","CNT85","KOSDAQ","건설","3100","0","0.00","110821763600"
"065770","CS","KOSDAQ","통신장비","1638","-11","-0.67","31795430940"
"083660","CSA 코스믹","KOSDAQ","화학","814","8","0.99","32113271102"
"404950","DB금융스팩10호","KOSDAQ","금융","2055","5","0.24","12001200000"
"367340","DB금융스팩8호","KOSDAQ","금융","2065","15","0.73","12493250000"
"367360","DB금융스팩9호","KOSDAQ","금융","2115","0","0.00","10236600000"
"025440","DH오토웨어","KOSDAQ","일반전기전자","637","0","0.00","90772500000"
"068790","DMS","KOSDAQ","기계·장비","6850","70","1.03","168325467850"
"241520","DSC인베스트먼트","KOSDAQ","금융","4425","-190","-4.12","123065458275"
"180400","DXVX","KOSDAQ","기타서비스","7740","0","0.00","222082929900"
"245620","EDGC","KOSDAQ","기타서비스","1685","51","3.12","141667943735"
"037370","EG","KOSDAQ","건설","10140","360","3.68","87457216080"
"050120","ES큐브","KOSDAQ","유통","4435","-95","-2.10","60156721410"
"214270","FSN","KOSDAQ","출판·매체복제","4675","-185","-3.81","155445914525"
"130500","GH신소재","KOSDAQ","섬유·의류","3900","80","2.09","56725702800"
"900290","GRT","KOSDAQ","금융","2775","-45","-1.60","186965625000"
"083450","GST","KOSDAQ","반도체","23150","-350","-1.49","215705796750"
"297890","HB솔루션","KOSDAQ","기계·장비","13550","-170","-1.24","226557260150"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1982","1","0.05","156559024332"
"195940","HK이노엔","KOSDAQ","제약","37950","750","2.02","1075119363450"
"028300","HLB","KOSDAQ","제약","34250","2700","8.56","3988956698250"
"067630","HLB생명과학","KOSDAQ","기타서비스","11140","520","4.90","1077469333240"
"047920","HLB제약","KOSDAQ","기타서비스","13400","800","6.35","373473410000"
"115450","HLB테라퓨틱스","KOSDAQ","유통","11990","340","2.92","418538790780"
"403870","HPSP","KOSDAQ","반도체","67100","-1800","-2.61","1361442225000"
"036640","HRS","KOSDAQ","화학","5590","310","5.87","91423332000"
"405350","IBKS제17호스팩","KOSDAQ","금융","2375","0","0.00","6460000000"
"424760","IBKS제18호스팩","KOSDAQ","금융","3235","-115","-3.43","13684050000"
"426550","IBKS제19호스팩","KOSDAQ","금융","2200","-5","-0.23","11176000000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2175","-15","-0.68","9374250000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2185","0","0.00","9198850000"
"095340","ISC","KOSDAQ","반도체","33350","-1150","-3.33","580272357850"
"099520","ITX-AI","KOSDAQ","통신장비","2570","0","0.00","63350158190"
"950170","JTC","KOSDAQ","유통","4530","-90","-1.95","226921398720"
"067290","JW신약","KOSDAQ","제약","3270","0","0.00","158356868790"
"035900","JYP Ent.","KOSDAQ","오락·문화","77900","1200","1.56","2765254626800"
"318000","KBG","KOSDAQ","화학","9650","2220","29.88","79417811250"
"024840","KBI메탈","KOSDAQ","금속","1497","64","4.47","49327419456"
"024120","KB오토시스","KOSDAQ","운송장비·부품","4390","30","0.69","50485000000"
"021320","KCC건설","KOSDAQ","건설","6220","-120","-1.89","133108000000"
"036670","KCI","KOSDAQ","화학","9350","20","0.21","105374500000"
"044180","KD","KOSDAQ","건설","737","-4","-0.54","18313448417"
"151860","KG ETS","KOSDAQ","기타서비스","16920","1430","9.23","609120000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","6830","140","2.09","265178629440"
"035600","KG이니시스","KOSDAQ","소프트웨어","13320","450","3.50","371687060880"
"226360","KH 건설","KOSDAQ","건설","372","-5","-1.33","45986837532"
"111870","KH 전자","KOSDAQ","일반전기전자","224","-3","-1.32","35831000128"
"060720","KH바텍","KOSDAQ","IT부품","15950","990","6.62","377655199900"
"058400","KNN","KOSDAQ","방송서비스","937","4","0.43","124086647640"
"114450","KPX생명과학","KOSDAQ","제약","4510","-15","-0.33","67650000000"
"060370","KT서브마린","KOSDAQ","건설","6040","-30","-0.49","156666921280"
"122450","KX","KOSDAQ","방송서비스","5530","-150","-2.64","250707880920"
"052900","KX하이텍","KOSDAQ","반도체","1404","28","2.03","77370953868"
"086960","MDS테크","KOSDAQ","소프트웨어","2955","-120","-3.90","245048977680"
"038340","MIT","KOSDAQ","일반전기전자","1362","0","0.00","30964113876"
"160550","NEW","KOSDAQ","오락·문화","7740","-130","-1.65","215993260440"
"053290","NE능률","KOSDAQ","출판·매체복제","5390","-20","-0.37","89076794730"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","7510","-40","-0.53","111354900500"
"060250","NHN한국사이버결제","KOSDAQ","소프트웨어","13930","270","1.98","559437311230"
"030190","NICE평가정보","KOSDAQ","기타서비스","12380","-20","-0.16","751649471600"
"024940","PN풍년","KOSDAQ","유통","7160","-200","-2.72","71600000000"
"218410","RFHIC","KOSDAQ","일반전기전자","22600","-200","-0.88","605373408400"
"327260","RF머트리얼즈","KOSDAQ","기타제조","14420","-330","-2.24","118643390740"
"091340","S&K폴리텍","KOSDAQ","IT부품","3995","0","0.00","46756365395"
"419530","SAMG엔터","KOSDAQ","오락·문화","36400","-1850","-4.84","312709852000"
"019550","SBI인베스트먼트","KOSDAQ","금융","1108","-12","-1.07","179569765100"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","4620","0","0.00","111122734800"
"046140","SBS콘텐츠허브","KOSDAQ","오락·문화","7550","90","1.21","162049840250"
"151910","SBW생명과학","KOSDAQ","IT부품","714","12","1.71","126473760252"
"036120","SCI평가정보","KOSDAQ","기타서비스","4200","40","0.96","149100000000"
"099220","SDN","KOSDAQ","유통","2095","139","7.11","117679944045"
"036540","SFA반도체","KOSDAQ","반도체","4195","-70","-1.64","689910971085"
"255220","SG","KOSDAQ","비금속","1252","12","0.97","56035374628"
"040610","SG&G","KOSDAQ","운송","1668","-3","-0.18","56857442928"
"049470","SGA","KOSDAQ","소프트웨어","900","-3","-0.33","52976024100"
"184230","SGA솔루션즈","KOSDAQ","소프트웨어","1052","-5","-0.47","57004959648"
"016250","SGC이테크건설","KOSDAQ","건설","29000","-500","-1.69","75383905000"
"048550","SM C&C","KOSDAQ","방송서비스","4950","620","14.32","473344344000"
"063440","SM Life Design","KOSDAQ","출판·매체복제","2865","185","6.90","131873526210"
"289080","SV인베스트먼트","KOSDAQ","금융","2425","15","0.62","129092450000"
"089230","THE E&M","KOSDAQ","인터넷","281","16","6.04","51194754378"
"161570","THE MIDONG","KOSDAQ","정보기기","1161","-83","-6.67","18091665630"
"032540","TJ미디어","KOSDAQ","일반전기전자","6690","-10","-0.15","93202464210"
"022220","TKG애강","KOSDAQ","화학","1433","11","0.77","74221631707"
"048770","TPC","KOSDAQ","기계·장비","4135","-70","-1.66","64911192785"
"246690","TS인베스트먼트","KOSDAQ","금융","1937","-22","-1.12","76019267623"
"317240","TS트릴리온","KOSDAQ","화학","531","6","1.14","50151688875"
"057030","YBM넷","KOSDAQ","기타서비스","5120","80","1.59","83521008640"
"040300","YTN","KOSDAQ","방송서비스","8080","900","12.53","339360000000"
"051390","YW","KOSDAQ","유통","3715","35","0.95","42185192120"
"052220","iMBC","KOSDAQ","디지털컨텐츠","3855","35","0.92","88665000000"
"079940","가비아","KOSDAQ","인터넷","13290","-370","-2.71","179889240360"
"078890","가온미디어","KOSDAQ","통신장비","8720","-180","-2.02","142938170240"
"399720","가온칩스","KOSDAQ","반도체","27000","-900","-3.23","310184640000"
"036620","감성코퍼레이션","KOSDAQ","유통","2010","-45","-2.19","180083089770"
"217730","강스템바이오텍","KOSDAQ","제약","3230","110","3.53","122539497750"
"114190","강원에너지","KOSDAQ","금속","13390","140","1.06","349787478820"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","7740","370","5.02","303638946120"
"039240","경남스틸","KOSDAQ","금속","3235","45","1.41","87279018940"
"053950","경남제약","KOSDAQ","제약","1899","1","0.05","67295615004"
"011040","경동제약","KOSDAQ","제약","7840","20","0.26","241227125440"
"024910","경창산업","KOSDAQ","운송장비·부품","2295","-50","-2.13","82204616475"
"198440","고려시멘트","KOSDAQ","비금속","2545","-10","-0.39","81388998200"
