종목명,variable,value
3S,유사종목_1,SG세계물산
3S,유사종목_2,유아이디
3S,유사종목_3,태광산업
3S,유사종목_4,영풍
3S,유사종목_5,남양유업
AJ네트웍스,유사종목_1,경창산업
AJ네트웍스,유사종목_2,디아이씨
AJ네트웍스,유사종목_3,성창오토텍
AJ네트웍스,유사종목_4,신성델타테크
AJ네트웍스,유사종목_5,호전실업
AK홀딩스,유사종목_1,KG케미칼
AK홀딩스,유사종목_2,한국가스공사
AK홀딩스,유사종목_3,국도화학
AK홀딩스,유사종목_4,신세계 I&C
AK홀딩스,유사종목_5,KPX케미칼
APS홀딩스,유사종목_1,성창기업지주
APS홀딩스,유사종목_2,슈프리마
APS홀딩스,유사종목_3,오디텍
APS홀딩스,유사종목_4,태경케미컬
APS홀딩스,유사종목_5,동신건설
AP시스템,유사종목_1,크린앤사이언스
AP시스템,유사종목_2,백산
AP시스템,유사종목_3,우신시스템
AP시스템,유사종목_4,핸즈코퍼레이션
AP시스템,유사종목_5,크라운제과
AP위성,유사종목_1,티비씨
AP위성,유사종목_2,플레이디
AP위성,유사종목_3,인트론바이오
AP위성,유사종목_4,신도기연
AP위성,유사종목_5,디에스케이
BGF,유사종목_1,한양이엔지
BGF,유사종목_2,멀티캠퍼스
BGF,유사종목_3,성우하이텍
BGF,유사종목_4,세종공업
BGF,유사종목_5,현대오토에버
BGF리테일,유사종목_1,SPC삼립
BGF리테일,유사종목_2,현대코퍼레이션
BGF리테일,유사종목_3,포스코인터내셔널
BGF리테일,유사종목_4,CJ프레시웨이
BGF리테일,유사종목_5,효성첨단소재
BGF에코머티리얼즈,유사종목_1,핌스
BGF에코머티리얼즈,유사종목_2,머큐리
BGF에코머티리얼즈,유사종목_3,우리손에프앤지
BGF에코머티리얼즈,유사종목_4,케이엔더블유
BGF에코머티리얼즈,유사종목_5,YBM넷
BNK금융지주,유사종목_1,기업은행
BNK금융지주,유사종목_2,DGB금융지주
BNK금융지주,유사종목_3,제주은행
BNK금융지주,유사종목_4,우리금융지주
BNK금융지주,유사종목_5,하나금융지주
BYC,유사종목_1,아세아
BYC,유사종목_2,KCC
BYC,유사종목_3,POSCO홀딩스
BYC,유사종목_4,신세계
BYC,유사종목_5,세아홀딩스
BYC우,유사종목_1,솔루스첨단소재2우B
BYC우,유사종목_2,SK네트웍스우
BYC우,유사종목_3,IBKS제17호스팩
BYC우,유사종목_4,한양증권우
BYC우,유사종목_5,유안타증권우
CBI,유사종목_1,SK아이이테크놀로지
CBI,유사종목_2,이글루
CBI,유사종목_3,하이즈항공
CBI,유사종목_4,디아이티
CBI,유사종목_5,인크로스
CJ,유사종목_1,두산
CJ,유사종목_2,CJ제일제당
CJ,유사종목_3,HD현대
CJ,유사종목_4,롯데쇼핑
CJ,유사종목_5,대한제분
CJ CGV,유사종목_1,나이스정보통신
CJ CGV,유사종목_2,대한제강
CJ CGV,유사종목_3,동원시스템즈
CJ CGV,유사종목_4,현대중공업
CJ CGV,유사종목_5,경동나비엔
CJ ENM,유사종목_1,서울가스
CJ ENM,유사종목_2,영원무역홀딩스
CJ ENM,유사종목_3,삼성SDI
CJ ENM,유사종목_4,DL
CJ ENM,유사종목_5,DI동일
CJ 바이오사이언스,유사종목_1,바이오솔루션
CJ 바이오사이언스,유사종목_2,로보티즈
CJ 바이오사이언스,유사종목_3,알티캐스트
CJ 바이오사이언스,유사종목_4,넵튠
CJ 바이오사이언스,유사종목_5,크리스탈지노믹스
CJ4우(전환),유사종목_1,솔루스첨단소재2우B
CJ4우(전환),유사종목_2,SK네트웍스우
CJ4우(전환),유사종목_3,IBKS제17호스팩
CJ4우(전환),유사종목_4,한양증권우
CJ4우(전환),유사종목_5,유안타증권우
CJ대한통운,유사종목_1,SK디스커버리
CJ대한통운,유사종목_2,한국석유
CJ대한통운,유사종목_3,LS
