종목명,variable,value
3S,유사종목_1,유니드
3S,유사종목_2,GS
3S,유사종목_3,현대백화점
3S,유사종목_4,엘비루셈
3S,유사종목_5,에스에프에이
AJ네트웍스,유사종목_1,일성건설
AJ네트웍스,유사종목_2,뉴프렉스
AJ네트웍스,유사종목_3,대우건설
AJ네트웍스,유사종목_4,동양피스톤
AJ네트웍스,유사종목_5,희림
AK홀딩스,유사종목_1,인천도시가스
AK홀딩스,유사종목_2,CJ대한통운
AK홀딩스,유사종목_3,효성중공업
AK홀딩스,유사종목_4,SK이노베이션
AK홀딩스,유사종목_5,매일유업
APS홀딩스,유사종목_1,쌍방울
APS홀딩스,유사종목_2,양지사
APS홀딩스,유사종목_3,디어유
APS홀딩스,유사종목_4,롯데렌탈
APS홀딩스,유사종목_5,바다로19호
AP시스템,유사종목_1,엠브레인
AP시스템,유사종목_2,케이엠더블유
AP시스템,유사종목_3,대창스틸
AP시스템,유사종목_4,동진쎄미켐
AP시스템,유사종목_5,크레버스
AP위성,유사종목_1,링크제니시스
AP위성,유사종목_2,야스
AP위성,유사종목_3,인트론바이오
AP위성,유사종목_4,베뉴지
AP위성,유사종목_5,티비씨
BGF,유사종목_1,하나투어
BGF,유사종목_2,대동금속
BGF,유사종목_3,쏘카
BGF,유사종목_4,SAMG엔터
BGF,유사종목_5,핸즈코퍼레이션
BGF리테일,유사종목_1,케이카
BGF리테일,유사종목_2,CJ프레시웨이
BGF리테일,유사종목_3,아이티센
BGF리테일,유사종목_4,현대코퍼레이션
BGF리테일,유사종목_5,GS글로벌
BGF에코머티리얼즈,유사종목_1,아스플로
BGF에코머티리얼즈,유사종목_2,디지털대성
BGF에코머티리얼즈,유사종목_3,정상제이엘에스
BGF에코머티리얼즈,유사종목_4,누리플렉스
BGF에코머티리얼즈,유사종목_5,진양산업
BNK금융지주,유사종목_1,삼성증권
BNK금융지주,유사종목_2,SK증권
BNK금융지주,유사종목_3,코리안리
BNK금융지주,유사종목_4,하나금융지주
BNK금융지주,유사종목_5,KB금융
