종목명,BPS,EPS,SPS,ROE,영업이익률,순이익률,매출액증가율,유동자산증가율,총자산증가율,부채비율,비유동부채비율,유동부채비율
동화약품,328490.26701079466,1898.1051406531772,51373.92163747558,13.825129302709497,184.0255190002846,262.7223433774724,213.46384095479047,90.71281799072071,85.72953650209259,892.8873956887071,204.91524308718047,687.9721526015267
KR모터스,12537.665159968437,-243.95063448063894,3986.238655264242,-112.50146267895673,-679.6221379142484,-993.1294468302019,1108.6318765584106,-85.62682940895102,-10.324105706892546,6702.78625554731,1188.1955999998845,5243.183664984222
경방,1313924.7669496299,9246.096236877624,163813.2356133462,6.107356494462422,291.09441805460233,160.8710742853814,41.46848980820631,181.19288276796706,35.517248280410016,2559.14134720349,1586.7574068146203,972.3839403888693
삼양홀딩스,6688131.774438243,97231.45145687238,1444300.7466718415,44.59013053614982,165.9846823388032,141.30155235289487,186.2357254655936,198.82016545556465,93.17036600851984,2141.572297771315,1186.307778276423,955.2645194948919
삼양홀딩스우,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
하이트진로,488593.17461207014,5322.352455073215,148715.75716951178,35.54171995784704,189.43006342615266,53.27366782117113,122.40335771533525,299.399005249891,70.0794146401684,6445.492019057088,1967.6173679430133,4477.874651114075
하이트진로2우B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
유한양행,2580991.684785711,31857.452481419423,365114.52274467004,33.716698006686705,120.98749775846608,214.6693376336797,222.59676353767148,175.4454067264848,97.88758276881995,1003.1588276524157,325.48652634401003,677.6723013084057
유한양행우,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ대한통운,4510054.612172208,23208.290727138778,2021168.7899054347,15.912770031626327,99.5719213574448,34.540594908927574,371.0770191454581,303.9681728163393,224.53738077849573,4122.652337614427,2057.491371077189,2065.160966537237
하이트진로홀딩스,1184924.3739427493,11194.870789810644,391739.99476805585,24.835511090033435,168.9466285053376,33.981982216518176,57.85019261899869,257.48228556890973,53.12997658458225,7005.354540705712,2136.549717790371,4868.80482291534
하이트진로홀딩스우,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
두산,13640451.420298062,103853.3446043157,4661327.103767606,22.394138793985928,184.8197717689202,-0.9301914802974776,347.09885964818227,224.83125550535414,73.45009150276223,8235.821037345768,2789.0119105224244,5446.809126823343
두산우,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
두산2우B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
성창기업지주,299608.0053007715,-195.01902888947956,18064.680136100982,-0.7258199807541217,-39.70127183842441,-28.01170547110736,125.75880728455073,60.066149853228836,312.13504026913307,1010.9310679939035,489.26589490639964,521.6651730875037
DL,5663036.0006592665,121418.11680065015,1376903.9734110695,64.54603910909292,219.95699819634723,244.18616214794957,750.7726156485306,-194.68060787289852,84.7071142126076,3936.496557050473,1875.6888144718441,2060.8077425786287
DL우,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
유유제약,288947.95743762515,2210.3533709583457,49438.150689405185,13.185311832764217,111.40904865954865,55.24081550760565,1936.1517161242487,288.8722359284999,162.37122286618583,1416.2327838172348,458.9981415298248,957.23464228741
유유제약1우,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
유유제약2우B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
일동홀딩스,568774.5772422353,9554.675597317368,151336.50710827787,108.89612517188174,-130.84409264878803,2301.3942494679204,4095.5526846697176,537.5683420280176,331.01330574118856,5392.928601842158,1597.0781586014302,3795.850443240728
한국앤컴퍼니,1060970.3309827307,12029.097770557633,43869.10049873643,36.20313504971916,721.9988367370361,653.1992299214518,622.6097119530514,356.6653997140338,128.54430970399503,293.76934440800744,99.09678671811011,194.67255768989733
삼천당제약,292111.19462403515,3243.653921274245,37128.138447642625,33.74027905881789,240.55981675335113,166.88120386188814,153.96501587106496,151.8511917282653,149.350989048928,911.2716109193218,358.1498017513075,553.1218091680141
기아,2228700.7712023626,38586.84082394403,777173.2554313142,52.51252197353994,158.44972302598308,140.11111644723903,316.82267639488776,269.15906911724505,157.21883022158383,2953.9717739635767,978.7970062007694,1975.1747677628061
대유플러스,36990.73414115795,432.4740419537286,22618.08181208305,463.1271165162396,76.46553173478209,-34.06209048082103,203.30133950283363,47.37731560664804,-194.9559266111155,10970.12730994842,1463.3969922106999,9789.51341734563
노루홀딩스,1292500.7402630777,13696.713029238867,323427.43132613535,34.10289522343533,94.44290304565983,96.63030112998926,243.54706655788925,199.91779111366793,86.30694895726907,2566.934227031997,868.1697445187352,1698.764482513262
노루홀딩스우,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한화손해보험,0.0,0.0,0.0,1.024271694408738,0.0,0.0,0.0,0.0,-0.0367920866044535,390.2751689943746,0.0,0.0
삼화페인트,332040.68596208026,1710.1240461675236,102041.82255012628,17.261104477006253,70.81587639983802,29.15024470076861,97.42641160920556,149.07615366845332,78.75474122190266,3069.2832359825507,935.3715963322354,2133.9116396503155
롯데손해보험,0.0,0.0,0.0,13.4817918143826,0.0,0.0,0.0,0.0,-18.4113552404694,915.6898334937508,0.0,0.0
대원강업,271954.999345742,1003.952151483871,74719.30582948386,13.405013116544627,88.38337071739906,62.68821493748314,85.06235233582876,12.894615775831168,-9.653464578681874,2933.1546959393377,622.3493172521296,2300.6754794528492
중앙에너비스,651532.9068292297,-428.7737331376302,146227.8798125032,-21.57745254720674,25.633641789944097,167.65997054667537,-9.68350261418787,281.7646943735065,-45.48024445039234,961.6992231683992,149.87282633370802,811.8263968346911
조선내화,5113131.386190809,55611.01936927184,859609.1599640689,32.473518833038774,98.23476825030346,144.0857214616654,46.57713293627724,11.026651321571933,84.76118008307853,1946.7779546623055,423.937500584357,1522.8404540779484
대동,387981.6078116231,11014.125028345872,212402.34324714052,80.692431456348,69.31156823847911,14.941627417521302,441.0537446981179,638.7744483940932,417.7708429995073,7271.1577100989125,1502.564103529478,5768.593606569437
